Child,Parent
query translations,cross-language information retrieval
cross language information retrieval,natural language processing systems
query translation,cross language information retrieval
query translations,cross language information retrieval
computing with words,natural language processing systems
computing with word %28cww%29,natural language processing systems
dialogue systems,natural language processing systems
dialogue management,dialogue systems
dialogue manager,dialogue management
spoken dialogue,dialogue systems
spoken language understanding,dialogue systems
spoken dialogue system,natural language processing systems
dialogue management,spoken dialogue system
spoken dialogue,spoken dialogue system
spoken language understanding,spoken dialogue system
spoken dialogue systems,natural language processing systems
dialogue management,spoken dialogue systems
spoken dialogue,spoken dialogue systems
spoken language understanding,spoken dialogue systems
semantic relatedness,natural language processing systems
semantic distance,semantic relatedness
word similarity,semantic relatedness
concept similarity,semantic relatedness
sentence similarity,semantic relatedness
semantic similarity,natural language processing systems
semantic distance,semantic similarity
word similarity,semantic similarity
concept similarity,semantic similarity
sentence similarity,semantic similarity
semantic similarity measures,natural language processing systems
semantic distance,semantic similarity measures
word similarity,semantic similarity measures
concept similarity,semantic similarity measures
sentence similarity,semantic similarity measures
named entity recognition,natural language processing systems
named entities,natural language processing systems
named entity,natural language processing systems
machine translation systems,natural language processing systems
machine translations,natural language processing systems
machine translation,natural language processing systems
question answering,natural language processing systems
question answering systems,natural language processing systems
question answering system,natural language processing systems
pseudo relevance feedback,natural language processing systems
information retrieval technology,natural language processing systems
n-gram models,natural language processing systems
statistical language models,natural language processing systems
statistical language modeling,natural language processing systems
sequence labeling,natural language processing systems
parsing algorithm,natural language processing systems
maximum entropy models,natural language processing systems
maximum entropy model,natural language processing systems
dependency parser,natural language processing systems
dependency trees,dependency parser
dependency parsing,natural language processing systems
dependency trees,dependency parsing
relevance models,natural language processing systems
text processing,computational linguistics
translation %28languages%29,computational linguistics
speech transmission,translation %28languages%29
flame resistance,translation %28languages%29
timed automata,translation %28languages%29
learning automata,translation %28languages%29
regular languages,translation %28languages%29
automata,translation %28languages%29
deterministic finite automata,translation %28languages%29
tree automata,translation %28languages%29
hybrid automatons,translation %28languages%29
hybrid automata,hybrid automatons
two-dimensional cellular automata,translation %28languages%29
parse trees,translation %28languages%29
closure property,translation %28languages%29
emptiness problem,translation %28languages%29
finite state automata,translation %28languages%29
nondeterministic finite automaton,translation %28languages%29
finite automaton,translation %28languages%29
deterministic automata,translation %28languages%29
nondeterministic automata,deterministic automata
cross-language information retrieval,translation %28languages%29
cross language information retrieval,translation %28languages%29
push-down automata,translation %28languages%29
pushdown automata,translation %28languages%29
cellular automata models,translation %28languages%29
cellular automaton models,cellular automata models
ca model,translation %28languages%29
cellular automaton models,ca model
machine translation systems,translation %28languages%29
machine translations,translation %28languages%29
machine translation,translation %28languages%29
cellular automaton models,cellular automaton
nondeterministic finite automaton,number of state
computability,turing machines
complexity class,turing machines
computability,turing machine
complexity class,turing machine
syntactics,computational linguistics
