Child,Parent
Trabecular bone of right articular process of tenth thoracic vertebra,Trabecular bone of articular process of tenth thoracic vertebra
Rhombomere 7,Rhombomere
Rhombomere 5,Rhombomere
Rhombomere 6,Rhombomere
Left nasal placode,Nasal placode
Second dorsal digital branch of left radial nerve,Second dorsal digital branch of radial nerve
Subareolar plexus of left breast,Subareolar plexus
Articular cartilage of patella,Articular cartilage
Labium minus branch of right posterior labial nerve,Labium minus branch of posterior labial nerve
Parenchyma of left lobe of liver,Parenchyma of lobe of liver
Nerve to sternocleidomastoid,Peripheral nerve
Perimysium of flexor hallucis brevis,Fascia of flexor hallucis brevis
Vermis part of anterior lobe of cerebellum,Segment of cerebellum
Milkline region of trunk,Subdivision of trunk proper
Nerve to left first lateral lumbar intertransversarius,Nerve to first lateral lumbar intertransversarius
Posterior ligament of right incus,Posterior ligament of incus
Branch of eighth intercostal nerve to rectus abdominis,Muscular branch of eighth intercostal nerve
Lateral interchondral ligament of interchondral joint of left 6th and 7th ribs,Lateral interchondral ligament of interchondral joint of 6th and 7th ribs
Extensor indicis,Deep muscle of posterior compartment of forearm
Periosteum of distal metaphysis of left fourth metatarsal bone,Periosteum of distal metaphysis of fourth metatarsal bone
Bone of middle phalanx of second toe,Bone of phalanx of second toe
Right testis,Testis
Outflow part of right ventricle,Outflow part of ventricle
Left auricle,Auricle of heart
Interatrial sulcus,Anatomical conduit space
Right ovary,Ovary
Left testis,Testis
Left ovary,Ovary
Testis,Lobular organ
Right auricle,Auricle of heart
Wall of apical segmental bronchial tree,Wall of pulmonary segment of bronchial tree
Striated muscle tissue of prostate,Skeletal muscle tissue
Subdivision of skeletal system of upper limb,Subdivision of appendicular skeletal system
Branch of left tenth intercostal nerve to left rectus abdominis,Branch of tenth intercostal nerve to rectus abdominis
Right masseteric nerve,Masseteric nerve
Surface of left lamina of axis,Surface of lamina of axis
Deep distal tendon of left incisivus labii inferioris,Deep distal tendon of incisivus labii inferioris
Deep distal tendon of incisivus labii inferioris,Distal tendon of incisivus labii inferioris
Proximal tendon of right zygomaticus major,Proximal tendon of zygomaticus major
Proximal tendon of zygomaticus major,Tendon of zygomaticus major
Deep distal tendon of right incisivus labii inferioris,Deep distal tendon of incisivus labii inferioris
Trunk of branch of medial branch of superficial fibular nerve,Trunk of branch of superficial fibular nerve
Parenchyma of superior part of superior bronchopulmonary subsegment,Parenchyma of superior bronchopulmonary subsegment
Set of costotransverse joints,Set of joints of rib cage
Cavity of crown of left upper second molar tooth,Cavity of crown of upper second molar tooth
Lateral ligament of left temporomandibular joint,Lateral ligament of temporomandibular joint
Left second plantar metatarsal vein,Second plantar metatarsal vein
Second internal intercostal muscle,Internal intercostal muscle
Vasculature of endosteum of right trapezium,Vasculature of endosteum of trapezium
Vasculature of endosteum of left pisiform,Vasculature of endosteum of pisiform
Vasculature of endosteum of trapezium,Vasculature of endosteum of carpal bone
Vasculature of endosteum of pisiform,Vasculature of endosteum of carpal bone
Vasculature of endosteum of right pisiform,Vasculature of endosteum of pisiform
Belly of medial head of left triceps brachii,Belly of medial head of triceps brachii
Skin of lower trunk,Segment of skin of trunk
Lumen of inferior minor calyx,Lumen of segment of minor calyx
Surface of left lamina of fifth lumbar vertebra,Surface of lamina of fifth lumbar vertebra
Thoracodorsal nerve component of trunk of right eighth cervical nerve,Thoracodorsal nerve component of trunk of eighth cervical nerve
Thoracodorsal nerve component of trunk of left eighth cervical nerve,Thoracodorsal nerve component of trunk of eighth cervical nerve
Thoracodorsal nerve component of trunk of eighth cervical nerve,Segment of C8 root of thoracodorsal nerve
Anatomical potential space,Anatomical cavity
Bony part of superior surface of central part of body of fourth lumbar vertebra,Bony part of superior surface of central part of body of lumbar vertebra
Lateral part of trunk of plantar digital artery of right second toe,Lateral part of trunk of plantar digital artery of second toe
Right transverse process of fifth cervical vertebra,Transverse process of fifth cervical vertebra
Subcutaneous adipose tissue of left labium majus,Subcutaneous adipose tissue
Subcutaneous adipose tissue of right labium majus,Subcutaneous adipose tissue
