Child,Parent
Melanogaitouloi?,label
Melanogaitouloi?,people
el Mendjel el Abiod,settlement
Merhassel,settlement
Mersa Madakh,settlement
Mina,settlement
Mina (river),river
Misserghin,settlement
Moulouya (river),river
Nakmousioi?,label
Nakmousioi?,people
Nigritae,label
Nigritae,people
Numerus Syrorum,fort-2
Oued Ferdja,settlement
Oued Haddad,settlement
Oukki,villa
Pomaria,settlement
Portus Divinus,settlement
Portus Magnus,settlement
Portus Magnus,port
Portus Sigensis,settlement
Portus Sigensis,port
Regiae,settlement
Rouahia,settlement
Rusaddi(r) Pr.,cape
Rusaddir,settlement
Rusaddir,port
Ste-Barbe-du-Tlélat,temple-2
Salsum (river),river
Sidi bou Zid,unknown
Sidi Djerbala,settlement
Sidi Hamza,quarry
Sidi Medjaheb,settlement
Si Slimane,settlement
Siga,settlement
Siga (river),river
Sira (river),river
Sorai,label
Sorai,people
Souama de Mecherasfa,settlement
Souma,tomb
Taladousioi,label
Taladousioi,people
Tasaccora,settlement
Tasaccora,settlement-modern
Tasaccora (river),river
Tauria (island),archipelago
Tauria (island),island
Tazout,mine-2
Tect(...),settlement
Temordjanet,fort
Tepidae,settlement
Tiaret,settlement
Tolotai?,label
Tolotai?,people
Tourhzout,fort
Tres (islands),archipelago
Tres (islands),island
Trumelet,villa
Untitled,aqueduct
Untitled,aqueduct
Untitled,hillfort
Cluster of 9 mausolea,tomb
Cluster of 9 mausolea,cemetery
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Unnamed road,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Ad Crispas,unlocated
Ad Rubras,unlocated
Agilaam (river),unlocated
Agilaam (river),river
Agilaam (river),reservoir
Artisiga/Artisica/Gypsaria,unlocated
Calama/Galama,unlocated
Cannarum Pr./Cannar Pr.,unlocated
Castra Severiana,unlocated
Chalkorycheia,unlocated
Dourdon M.,unlocated
Herpis,unlocated
Limes Muticitanus,unlocated
Limes Muticitanus,frontier-system-limes
Molochath,unlocated
Molochath,river
Molochath,mouth
Nigrensis (river),unlocated
Nigrensis (river),river
Parietina,unlocated
Popleto (river),unlocated
Popleto (river),river
Portus Caecili,unlocated
Sardabale (river),unlocated
Sardabale (river),river
Saltus Cu(...),unlocated
Silva/Gilva Col.,unlocated
Sita Col.,unlocated
Valonice,unlocated
Alexandria,settlement
Amata,station
Anauon,label
Arabia (region),region
Arabia (region),label
Ari(m)aspai,label
Ari(m)aspai,people
Assyria (kingdom),region
Bam,settlement
Barna,settlement
Carmania,region
el Abadia,settlement
Agouni Tabet,settlement
Ain Bessem,fort-2
Ain el Hammam,settlement
Ain Titinguel,settlement
Akbou des Ait bou Mahdi,tomb
Akbou des Beni Chénacha,villa
Ancorarius? M.,mountain
Ancorarius? M.,label
Aquae Calidae,settlement
el Arba,settlement
Arou Djaoud,quarry
Arsennaria,settlement
Artennites?,label
Artennites?,people
Auzia,settlement
Aves/Sauos (river),river
el Azari,settlement
Bantouraroi?,label
Bantouraroi?,people
Ben Naria,settlement
